PROPUESTA PERIODO: ENERO-MAYO 2025,,,,,,CONSIDERACIONES ,,HORARIO,,,,,
MODALIDAD ,ASIGNATURAS,CREDITOS ,GRUPO,SALA,DOCENTE,DINAMICA,NOTAS ,LUNES ,MARTES ,MIERCOLES ,JUEVES,VIERNES,SABADO 
OBLIGATORIA ,Desarrollo del pensamiento científico ,4,D,4,MANUEL S.,Lunes y miércoles presencial,Ningún antecedente,14:00-15:30,,14:00-15:30,,,
OBLIGATORIA ,Desarrollo del pensamiento científico ,4,E,7,SALLY V.,Miércoles y viernes presencial,Ningún antecedente,,,8:30-10:00,,8:30-10:00,
OBLIGATORIA ,Dinámicas y técnicas grupales ,6,A,8,DAVID C. ,Lunes y miércoles presencial,Ningún antecedente,12:00-14:00,,12:00-14:00,,,
OBLIGATORIA ,Dinámicas y técnicas grupales ,6,B,9,DAVID C. ,Martes y jueves presencial,Ningún antecedente,,12:00-14:00,,12:00-14:00,,
OBLIGATORIA ,Dinámicas y técnicas grupales ,6,C,15,THELMA C.,Martes y jueves presencial,Ningún antecedente,,10:00-12:00,,10:00-12:00,,
OBLIGATORIA ,Dinámicas y técnicas grupales ,6,D,14,ROXANA C.,Martes y jueves presencial,Ningún antecedente,,12:00-14:00,,12:00-14:00,,
OBLIGATORIA ,Procesos de enseñanza y aprendizaje en ambientes educativos ,6,A,17,VANESSA E. ,Martes y jueves presencial,"2 antecedentes: Aprendizaje, Motivación y emoción ",,8:00-10:00,,8:00-10:00,,
OBLIGATORIA ,Procesos de enseñanza y aprendizaje en ambientes educativos ,6,B,17,VANESSA E. ,Martes y jueves presencial,"2 antecedentes: Aprendizaje, Motivación y emoción ",,10:00-12:00,,10:00-12:00,,
OBLIGATORIA ,Desarrollo Psic.: adultez y vejez ,5 ,A,15,ROSA I.,Lunes y miércoles presencial,1 antecedente: Desarrollo psicoilógico: niñez y adolescencia,10:00-12:00,,10:00-12:00,,,
OBLIGATORIA ,Desarrollo Psic.: adultez y vejez ,5,B,10,YANKO M.,Lunes y miércoles presencial,1 antecedente: Desarrollo psicoilógico: niñez y adolescencia,10:00-12:00,,10:00-12:00,,,
OBLIGATORIA ,Psicofisiología ,5 ,A,3,DIANA F.,Viernes presencial de corrido,1 antecedente: Neuroanatomía,,,,,10:00-14:00,
OBLIGATORIA ,Psicofisiología ,5 ,B,2,DIANA F.,Martes y jueves presencial,1 antecedente: Neuroanatomía,,14:00-16:00,,14:00-16:00,,
OBLIGATORIA ,Psicofisiología ,5 ,C,4,INGRID R.,Martes y jueves presencial,1 antecedente: Neuroanatomía,,10:00-12:00,,10:00-12:00,,
OBLIGATORIA ,Psicofisiología ,5 ,D,1,INGRID R.,Martes y jueves presencial,1 antecedente: Neuroanatomía,,12:00-14:00,,12:00-14:00,,
OBLIGATORIA ,Psicofisiología ,5 ,E,13/14,INGRID R.,Lunes y viernes presencial,1 antecedente: Neuroanatomía,10:00-12:00,,,,10:00-12:00,
OBLIGATORIA ,Procesos psicosociales individuales  ,6 ,A,12/online,MAURICIO B.,Martes presencial y viernes online,Ningún antecedente,,12:00-14:00,,,12:00-14:00,
OBLIGATORIA ,Procesos psicosociales individuales  ,6 ,B,Isabel R./ online,MAURICIO B.,Martes presencial y viernes online,Ningún antecedente,,10:00-12:00,,,10:00-12:00,
OBLIGATORIA ,Procesos psicosociales individuales  ,6 ,C,18/online,MAURICIO B.,Martes presencial y jueves online,Ningún antecedente,,14:00-16:00,,14:00-16:00,,
OBLIGATORIA ,Procesos psicosociales individuales  ,6 ,D,8/online,ZENDY P.,Lunes presencial y jueves online,Ningún antecedente,14:00-16:00,,,14:00-16:00,,
OBLIGATORIA ,Psicometría ,6 ,A,8/plataforma,RICARDO E.,Jueves presencial y sábado plataforma (sin sesión directa),1 antecedente: Estadística en Psicología,,,,10:00- 12:00,,7:00- 9:00
OBLIGATORIA ,Psicometría ,6 ,B,16/plataforma,MA. JOSE C.,Lunes presencial y sábado en plataforma (sin sesión directa),1 antecedente: Estadística en Psicología,8:00-10:00,,,,,18:00- 20:00
OBLIGATORIA ,Psicometría ,6 ,C,13/plataforma,MA. JOSE C.,Viernes presencial y sábado plataforma (sin sesión directa),1 antecedente: Estadística en Psicología,,,,,8:00-10:00,7:00- 9:00
OBLIGATORIA ,Psicometría ,6 ,D,12/plataforma,ALONDRA L.,Miércoles/sábado plataforma (sin sesión directa),1 antecedente: Estadística en Psicología,,,12:00-14:00,,,7:00- 9:00
OBLIGATORIA ,Psicología de las organizaciones y el trabajo ,5 ,A,7/plataforma,THELMA C.,Miércoles presencial y sábado en plataforma (sin sesión directa),Ningún antecedente,,,10:00-12:00,,,20:00-22:00
